stamp,x,y,z
0,-3.6739403974420594e-16,-1.0,0.0
1,-0.19118218247244348,-0.9919473555349516,0.10101010101010101
2,-0.38683080401908043,-0.9662566355164731,0.20202020202020202
3,-0.5902864388932098,-0.9185036276733466,0.30303030303030304
4,-0.8027334771867736,-0.8418826414076008,0.40404040404040403
5,-1.0223547379013551,-0.7280155131757273,0.5050505050505051
6,-1.2437484307464441,-0.5680008763634613,0.6060606060606061
7,-1.4576677753213334,-0.3536263759742964,0.7070707070707071
8,-1.6511223101830335,-0.07865264955213226,0.8080808080808081
9,-1.8078556913693067,0.25993040709418236,0.9090909090909091
10,-1.9091889818762524,0.6607767311139958,1.0101010101010102
11,-1.9351925689504128,1.1172839506172834,1.1111111111111112
12,-1.8661254411741044,1.6170068995214633,1.2121212121212122
13,-1.6840590848970902,2.1414553293263108,1.3131313131313131
14,-1.3745860591069876,2.6663249694830538,1.4141414141414141
15,-0.9285015119411292,3.162185750507283,1.5151515151515151
16,-0.3433403723101092,3.595623051832442,1.6161616161616161
17,0.3753457740960313,3.9307987833385307,1.7171717171717171
18,1.2130798521849993,4.131370572340108,1.8181818181818181
19,2.1460111798602055,4.16268094364959,1.9191919191919191
20,3.1409994564608077,3.994105720975977,2.0202020202020203
21,4.156275666490038,3.6014333660223263,2.121212121212121
22,5.142694064448333,2.9691358024691366,2.2222222222222223
23,6.045556201839448,2.0923873449612946,2.323232323232323
24,6.80695388268715,0.9786922165552162,2.4242424242424243
25,7.368544790355132,-0.3510070498900545,2.525252525252525
26,7.67464413833389,-1.8618485223309007,2.6262626262626263
27,7.675489812041018,-3.505278746073768,2.727272727272727
28,7.330518676338297,-5.22003871860925,2.8282828282828283
29,6.611479365083336,-6.933919999194388,2.929292929292929
30,5.505202961216827,-8.566263017047719,3.0303030303030303
31,4.015858148850563,-10.031128708737382,3.131313131313131
32,2.1665318710827868,-11.241034768041317,3.2323232323232323
33,-1.4831833456340167e-15,-12.111111111111112,3.3333333333333335
34,-2.421415701871221,-12.563497659977621,3.4343434343434343
35,-5.0169691405282055,-12.531783073763846,3.5353535353535355
36,-7.689610304471762,-11.965267190102999,3.6363636363636362
37,-10.329076733337141,-10.832823908177932,3.7373737373737375
38,-12.815878622805206,-9.126145853768831,3.8383838383838382
39,-15.026051390663383,-6.862167740028414,3.9393939393939394
40,-16.836504041720815,-4.0844916853827495,4.040404040404041
41,-18.13075181185555,-0.8636741564084902,4.141414141414141
42,-18.804789541849967,2.7037205592617037,4.242424242424242
43,-18.772839955572355,6.497343079876067,4.343434343434343
44,-17.972700046440025,10.376543209876534,4.444444444444445
45,-16.370410201508342,14.18504118736027,4.545454545454545
46,-13.963985073791271,17.75665148751636,4.646464646464646
47,-10.785972532296244,20.921867854314804,4.747474747474747
48,-6.904646657062362,23.515067008996624,4.848484848484849
49,-2.423691488394928,25.382045599728237,4.94949494949495
50,2.519707693752688,26.3875727942465,5.05050505050505
51,7.758381677793966,26.4226214744951,5.151515151515151
52,13.100247894555853,25.41093577681444,5.252525252525253
53,18.334806188482425,23.31460266246537,5.353535353535354
54,23.240860877456143,20.138320586862868,5.454545454545454
55,27.59520453293376,15.932098765432134,5.555555555555555
56,31.18194161546194,10.792174921417969,5.656565656565657
57,33.802084115803495,4.860005987644843,5.757575757575758
58,35.28301925237185,-1.6807373574222504,5.858585858585858
59,35.48743313075848,-8.609158124452538,5.959595959595959
60,34.32127553454713,-15.674001349159289,6.0606060606060606
61,31.740370438116038,-22.60221547006939,6.161616161616162
62,27.755314397026854,-29.108935981538256,6.262626262626262
63,22.434359871442602,-34.90854535822613,6.363636363636363
64,15.904051175022671,-39.72639929342657,6.4646464646464645
65,8.347464767702297,-43.310759897496716,6.565656565656566
66,5.5653393427918615e-15,-45.44444444444445,6.666666666666667
67,-8.857232429279067,-45.95568568136933,6.767676767676767
68,-17.90627315837796,-44.72770802347949,6.8686868686868685
69,-26.80317455795247,-41.70655370433669,6.96969696969697
70,-35.1905091335344,-36.90674379950541,7.070707070707071
71,-42.71109033104984,-30.414429740388563,7.171717171717171
72,-49.02239869179183,-22.387779337068643,7.2727272727272725
73,-53.811152937532334,-13.054444450556222,7.373737373737374
74,-56.807433295372704,-2.7060715704591405,7.474747474747475
75,-57.79775543412914,8.310062673057718,7.575757575757575
76,-56.63650912292776,19.602086391247497,7.6767676767676765
77,-53.255216496917164,30.74691358024687,7.777777777777778
78,-47.66912994749285,41.30553622953866,7.878787878787879
79,-39.98077742314335,50.83969419554611,7.979797979797979
80,-30.380170599427988,58.92930959814485,8.080808080808081
81,-19.141515287548714,65.19001434780813,8.181818181818182
82,-6.616399122350497,69.29006642702588,8.282828282828282
83,6.7764261312799405,70.96594508455635,8.383838383838384
84,20.564406988768017,70.03593845697225,8.484848484848484
85,34.23729620319393,66.41108946897761,8.585858585858587
86,47.26547928096191,60.10294615379448,8.686868686868687
87,59.11988107407232,51.2276685620432,8.787878787878787
88,69.2927239744067,40.00617283950628,8.88888888888889
89,77.31834522274372,26.76013946048403,8.98989898989899
90,82.79324639071834,11.903871720362908,9.09090909090909
91,85.39454569623321,-4.067843572148553,9.191919191919192
92,84.89603475259513,-20.595555182339197,9.292929292929292
93,81.18110559826472,-37.07416868562017,9.393939393939394
94,74.25191002323467,-52.87454576755601,9.494949494949495
95,64.23423857301734,-67.36693058843923,9.595959595959595
96,51.37775716957056,-79.94535065120856,9.696969696969697
97,36.05140988253558,-90.05206838958395,9.797979797979798
98,18.733980872330957,-97.20112274390114,9.8989898989899
99,3.71067980141648e-14,-101.0,10.0
